location,date,vaccine,total_vaccinations
Austria,2021-08-13,Oxford/AstraZeneca,1563854
Austria,2021-08-13,Pfizer/BioNTech,7156628
Austria,2021-08-20,Johnson&Johnson,240070
Austria,2021-08-20,Moderna,1007037
Austria,2021-08-20,Oxford/AstraZeneca,1566420
Austria,2021-08-20,Pfizer/BioNTech,7250678
Austria,2021-08-27,Johnson&Johnson,253748
Austria,2021-08-27,Moderna,1010797
Austria,2021-08-27,Oxford/AstraZeneca,1568103
Austria,2021-08-27,Pfizer/BioNTech,7309953
Austria,2021-09-03,Johnson&Johnson,266626
Austria,2021-09-03,Moderna,1015801
Austria,2021-09-03,Oxford/AstraZeneca,1569880
Austria,2021-09-03,Pfizer/BioNTech,7362311
Austria,2021-09-10,Johnson&Johnson,280529
Austria,2021-09-10,Moderna,1018921
Austria,2021-09-10,Oxford/AstraZeneca,1570866
Austria,2021-09-10,Pfizer/BioNTech,7418381
Austria,2021-09-17,Johnson&Johnson,291854
Austria,2021-09-17,Moderna,1023482
Austria,2021-09-17,Oxford/AstraZeneca,1571682
Austria,2021-09-17,Pfizer/BioNTech,7489941
Austria,2021-09-24,Johnson&Johnson,305490
Austria,2021-09-24,Moderna,1027637
Austria,2021-09-24,Oxford/AstraZeneca,1572691
Austria,2021-09-24,Pfizer/BioNTech,7564307
Austria,2021-10-01,Johnson&Johnson,312917
Austria,2021-10-01,Moderna,1032206
Austria,2021-10-01,Oxford/AstraZeneca,1573287
Austria,2021-10-01,Pfizer/BioNTech,7646371
Austria,2021-10-08,Johnson&Johnson,316997
Austria,2021-10-08,Moderna,1037765
Austria,2021-10-08,Oxford/AstraZeneca,1573577
Austria,2021-10-08,Pfizer/BioNTech,7758773
Austria,2021-10-15,Johnson&Johnson,319721
Austria,2021-10-15,Moderna,1044500
Austria,2021-10-15,Oxford/AstraZeneca,1573830
Austria,2021-10-15,Pfizer/BioNTech,7866625
Austria,2021-10-22,Johnson&Johnson,323007
Austria,2021-10-22,Moderna,1052716
Austria,2021-10-22,Oxford/AstraZeneca,1573990
Austria,2021-10-22,Pfizer/BioNTech,7992703
Austria,2021-10-29,Johnson&Johnson,328291
Austria,2021-10-29,Moderna,1059283
Austria,2021-10-29,Oxford/AstraZeneca,1574143
Austria,2021-10-29,Pfizer/BioNTech,8108831
Austria,2021-11-05,Johnson&Johnson,332878
Austria,2021-11-05,Moderna,1072767
Austria,2021-11-05,Oxford/AstraZeneca,1574323
Austria,2021-11-05,Pfizer/BioNTech,8325298
Austria,2021-11-12,Johnson&Johnson,335556
Austria,2021-11-12,Moderna,1088428
Austria,2021-11-12,Oxford/AstraZeneca,1574589
Austria,2021-11-12,Pfizer/BioNTech,8554315
Belgium,2021-01-08,Johnson&Johnson,0
Belgium,2021-01-08,Moderna,0
Belgium,2021-01-08,Oxford/AstraZeneca,0
Belgium,2021-01-08,Pfizer/BioNTech,28120
Belgium,2021-01-15,Johnson&Johnson,0
Belgium,2021-01-15,Moderna,44
Belgium,2021-01-15,Oxford/AstraZeneca,0
Belgium,2021-01-15,Pfizer/BioNTech,127119
Belgium,2021-01-22,Johnson&Johnson,0
Belgium,2021-01-22,Moderna,4522
Belgium,2021-01-22,Oxford/AstraZeneca,0
Belgium,2021-01-22,Pfizer/BioNTech,245073
Belgium,2021-01-29,Johnson&Johnson,0
Belgium,2021-01-29,Moderna,6227
Belgium,2021-01-29,Oxford/AstraZeneca,0
Belgium,2021-01-29,Pfizer/BioNTech,335067
Belgium,2021-02-05,Johnson&Johnson,0
Belgium,2021-02-05,Moderna,16023
Belgium,2021-02-05,Oxford/AstraZeneca,0
Belgium,2021-02-05,Pfizer/BioNTech,464390
Belgium,2021-02-12,Johnson&Johnson,0
Belgium,2021-02-12,Moderna,25651
Belgium,2021-02-12,Oxford/AstraZeneca,381
Belgium,2021-02-12,Pfizer/BioNTech,600155
Belgium,2021-02-19,Johnson&Johnson,0
Belgium,2021-02-19,Moderna,30470
Belgium,2021-02-19,Oxford/AstraZeneca,10870
Belgium,2021-02-19,Pfizer/BioNTech,700992
Belgium,2021-02-26,Johnson&Johnson,0
Belgium,2021-02-26,Moderna,32967
Belgium,2021-02-26,Oxford/AstraZeneca,45501
Belgium,2021-02-26,Pfizer/BioNTech,789886
Belgium,2021-03-05,Johnson&Johnson,0
Belgium,2021-03-05,Moderna,51858
Belgium,2021-03-05,Oxford/AstraZeneca,110366
Belgium,2021-03-05,Pfizer/BioNTech,879200
Belgium,2021-03-12,Johnson&Johnson,0
Belgium,2021-03-12,Moderna,67841
Belgium,2021-03-12,Oxford/AstraZeneca,191677
Belgium,2021-03-12,Pfizer/BioNTech,975888
Belgium,2021-03-19,Johnson&Johnson,0
Belgium,2021-03-19,Moderna,90362
Belgium,2021-03-19,Oxford/AstraZeneca,351674
Belgium,2021-03-19,Pfizer/BioNTech,1086534
Belgium,2021-03-26,Johnson&Johnson,0
Belgium,2021-03-26,Moderna,100742
Belgium,2021-03-26,Oxford/AstraZeneca,462527
Belgium,2021-03-26,Pfizer/BioNTech,1283478
Belgium,2021-04-02,Johnson&Johnson,0
Belgium,2021-04-02,Moderna,128625
Belgium,2021-04-02,Oxford/AstraZeneca,522635
Belgium,2021-04-02,Pfizer/BioNTech,1542520
Belgium,2021-04-09,Johnson&Johnson,0
Belgium,2021-04-09,Moderna,175940
Belgium,2021-04-09,Oxford/AstraZeneca,602426
Belgium,2021-04-09,Pfizer/BioNTech,1861040
Belgium,2021-04-16,Johnson&Johnson,0
Belgium,2021-04-16,Moderna,210650
Belgium,2021-04-16,Oxford/AstraZeneca,783302
Belgium,2021-04-16,Pfizer/BioNTech,2138764
Belgium,2021-04-23,Johnson&Johnson,0
Belgium,2021-04-23,Moderna,262120
Belgium,2021-04-23,Oxford/AstraZeneca,840347
Belgium,2021-04-23,Pfizer/BioNTech,2456256
Belgium,2021-04-30,Johnson&Johnson,3057
Belgium,2021-04-30,Moderna,289242
Belgium,2021-04-30,Oxford/AstraZeneca,905954
Belgium,2021-04-30,Pfizer/BioNTech,2812499
Belgium,2021-05-07,Johnson&Johnson,24049
Belgium,2021-05-07,Moderna,347202
Belgium,2021-05-07,Oxford/AstraZeneca,1008893
Belgium,2021-05-07,Pfizer/BioNTech,3365068
Belgium,2021-05-14,Johnson&Johnson,29852
Belgium,2021-05-14,Moderna,401803
Belgium,2021-05-14,Oxford/AstraZeneca,1102061
Belgium,2021-05-14,Pfizer/BioNTech,3817076
Belgium,2021-05-21,Johnson&Johnson,50483
Belgium,2021-05-21,Moderna,503737
Belgium,2021-05-21,Oxford/AstraZeneca,1369105
Belgium,2021-05-21,Pfizer/BioNTech,4186581
Belgium,2021-05-28,Johnson&Johnson,74336
Belgium,2021-05-28,Moderna,578143
Belgium,2021-05-28,Oxford/AstraZeneca,1469192
Belgium,2021-05-28,Pfizer/BioNTech,4629025
Belgium,2021-06-04,Johnson&Johnson,98199
Belgium,2021-06-04,Moderna,654487
Belgium,2021-06-04,Oxford/AstraZeneca,1572708
Belgium,2021-06-04,Pfizer/BioNTech,5328306
Belgium,2021-06-11,Johnson&Johnson,144555
Belgium,2021-06-11,Moderna,740861
Belgium,2021-06-11,Oxford/AstraZeneca,1760027
Belgium,2021-06-11,Pfizer/BioNTech,6082310
Belgium,2021-06-18,Johnson&Johnson,213994
Belgium,2021-06-18,Moderna,847198
Belgium,2021-06-18,Oxford/AstraZeneca,1895083
Belgium,2021-06-18,Pfizer/BioNTech,6795986
Belgium,2021-06-25,Johnson&Johnson,245017
Belgium,2021-06-25,Moderna,959865
Belgium,2021-06-25,Oxford/AstraZeneca,1964448
Belgium,2021-06-25,Pfizer/BioNTech,7456597
Belgium,2021-07-02,Johnson&Johnson,268555
Belgium,2021-07-02,Moderna,1043461
Belgium,2021-07-02,Oxford/AstraZeneca,2064475
Belgium,2021-07-02,Pfizer/BioNTech,7926291
Belgium,2021-07-09,Johnson&Johnson,283694
Belgium,2021-07-09,Moderna,1105124
Belgium,2021-07-09,Oxford/AstraZeneca,2291710
Belgium,2021-07-09,Pfizer/BioNTech,8460861
Belgium,2021-07-16,Johnson&Johnson,301867
Belgium,2021-07-16,Moderna,1159895
Belgium,2021-07-16,Oxford/AstraZeneca,2446273
Belgium,2021-07-16,Pfizer/BioNTech,8969165
Belgium,2021-07-23,Johnson&Johnson,312548
Belgium,2021-07-23,Moderna,1213496
Belgium,2021-07-23,Oxford/AstraZeneca,2552617
Belgium,2021-07-23,Pfizer/BioNTech,9521758
Belgium,2021-07-30,Johnson&Johnson,321866
Belgium,2021-07-30,Moderna,1244502
Belgium,2021-07-30,Oxford/AstraZeneca,2644141
Belgium,2021-07-30,Pfizer/BioNTech,10031410
Belgium,2021-08-06,Johnson&Johnson,331096
Belgium,2021-08-06,Moderna,1268038
Belgium,2021-08-06,Oxford/AstraZeneca,2704795
Belgium,2021-08-06,Pfizer/BioNTech,10390062
Belgium,2021-08-13,Johnson&Johnson,338448
Belgium,2021-08-13,Moderna,1285418
Belgium,2021-08-13,Oxford/AstraZeneca,2817910
Belgium,2021-08-13,Pfizer/BioNTech,10541541
Belgium,2021-08-20,Johnson&Johnson,344585
Belgium,2021-08-20,Moderna,1296884
Belgium,2021-08-20,Oxford/AstraZeneca,2827526
Belgium,2021-08-20,Pfizer/BioNTech,10640991
Belgium,2021-08-27,Johnson&Johnson,350338
Belgium,2021-08-27,Moderna,1304669
Belgium,2021-08-27,Oxford/AstraZeneca,2831070
Belgium,2021-08-27,Pfizer/BioNTech,10713065
Belgium,2021-09-03,Johnson&Johnson,356272
Belgium,2021-09-03,Moderna,1313901
Belgium,2021-09-03,Oxford/AstraZeneca,2833537
Belgium,2021-09-03,Pfizer/BioNTech,10766467
Belgium,2021-09-10,Johnson&Johnson,361180
Belgium,2021-09-10,Moderna,1320407
Belgium,2021-09-10,Oxford/AstraZeneca,2834541
Belgium,2021-09-10,Pfizer/BioNTech,10808606
Belgium,2021-09-17,Johnson&Johnson,367733
Belgium,2021-09-17,Moderna,1326824
Belgium,2021-09-17,Oxford/AstraZeneca,2835444
Belgium,2021-09-17,Pfizer/BioNTech,10860179
Belgium,2021-09-24,Johnson&Johnson,374556
Belgium,2021-09-24,Moderna,1331115
Belgium,2021-09-24,Oxford/AstraZeneca,2836011
Belgium,2021-09-24,Pfizer/BioNTech,10958352
Belgium,2021-10-01,Johnson&Johnson,379580
Belgium,2021-10-01,Moderna,1337466
Belgium,2021-10-01,Oxford/AstraZeneca,2836336
Belgium,2021-10-01,Pfizer/BioNTech,11089264
Belgium,2021-10-08,Johnson&Johnson,383526
Belgium,2021-10-08,Moderna,1340057
Belgium,2021-10-08,Oxford/AstraZeneca,2836451
Belgium,2021-10-08,Pfizer/BioNTech,11253476
Belgium,2021-10-15,Johnson&Johnson,387485
Belgium,2021-10-15,Moderna,1343635
Belgium,2021-10-15,Oxford/AstraZeneca,2836585
Belgium,2021-10-15,Pfizer/BioNTech,11422128
Belgium,2021-10-22,Johnson&Johnson,391169
Belgium,2021-10-22,Moderna,1347945
Belgium,2021-10-22,Oxford/AstraZeneca,2836662
Belgium,2021-10-22,Pfizer/BioNTech,11550075
Belgium,2021-10-29,Johnson&Johnson,395339
Belgium,2021-10-29,Moderna,1352222
Belgium,2021-10-29,Oxford/AstraZeneca,2836683
Belgium,2021-10-29,Pfizer/BioNTech,11690043
Belgium,2021-11-05,Johnson&Johnson,399151
Belgium,2021-11-05,Moderna,1359261
Belgium,2021-11-05,Oxford/AstraZeneca,2836703
Belgium,2021-11-05,Pfizer/BioNTech,11794665
Belgium,2021-11-12,Johnson&Johnson,400650
Belgium,2021-11-12,Moderna,1364317
Belgium,2021-11-12,Oxford/AstraZeneca,2836718
Belgium,2021-11-12,Pfizer/BioNTech,11857441
Bulgaria,2021-01-01,Pfizer/BioNTech,0
Bulgaria,2021-01-08,Moderna,0
Bulgaria,2021-01-08,Pfizer/BioNTech,13473
Bulgaria,2021-01-15,Moderna,491
Bulgaria,2021-01-15,Pfizer/BioNTech,17962
Bulgaria,2021-01-22,Moderna,843
Bulgaria,2021-01-22,Pfizer/BioNTech,25300
Bulgaria,2021-01-29,Moderna,1053
Bulgaria,2021-01-29,Pfizer/BioNTech,40072
Bulgaria,2021-02-05,Moderna,2207
Bulgaria,2021-02-05,Oxford/AstraZeneca,10
Bulgaria,2021-02-05,Pfizer/BioNTech,54821
Bulgaria,2021-02-12,Moderna,3333
Bulgaria,2021-02-12,Oxford/AstraZeneca,2035
Bulgaria,2021-02-12,Pfizer/BioNTech,70020
Bulgaria,2021-02-19,Moderna,6446
Bulgaria,2021-02-19,Oxford/AstraZeneca,28947
Bulgaria,2021-02-19,Pfizer/BioNTech,83960
Bulgaria,2021-02-26,Moderna,10475
Bulgaria,2021-02-26,Oxford/AstraZeneca,97630
Bulgaria,2021-02-26,Pfizer/BioNTech,104340
Bulgaria,2021-03-05,Moderna,14820
Bulgaria,2021-03-05,Oxford/AstraZeneca,143932
Bulgaria,2021-03-05,Pfizer/BioNTech,129880
Bulgaria,2021-03-12,Moderna,16988
Bulgaria,2021-03-12,Oxford/AstraZeneca,174209
Bulgaria,2021-03-12,Pfizer/BioNTech,147683
Bulgaria,2021-03-19,Moderna,20921
Bulgaria,2021-03-19,Oxford/AstraZeneca,179029
Bulgaria,2021-03-19,Pfizer/BioNTech,168956
Bulgaria,2021-03-26,Moderna,34004
Bulgaria,2021-03-26,Oxford/AstraZeneca,206835
Bulgaria,2021-03-26,Pfizer/BioNTech,195704
Bulgaria,2021-04-02,Moderna,44809
Bulgaria,2021-04-02,Oxford/AstraZeneca,230180
Bulgaria,2021-04-02,Pfizer/BioNTech,228583
Bulgaria,2021-04-09,Moderna,59160
Bulgaria,2021-04-09,Oxford/AstraZeneca,238387
Bulgaria,2021-04-09,Pfizer/BioNTech,275118
Bulgaria,2021-04-16,Johnson&Johnson,0
Bulgaria,2021-04-16,Moderna,74318
Bulgaria,2021-04-16,Oxford/AstraZeneca,241707
Bulgaria,2021-04-16,Pfizer/BioNTech,322422
Bulgaria,2021-04-23,Johnson&Johnson,0
Bulgaria,2021-04-23,Moderna,93241
Bulgaria,2021-04-23,Oxford/AstraZeneca,247383
Bulgaria,2021-04-23,Pfizer/BioNTech,382650
Bulgaria,2021-04-30,Johnson&Johnson,0
Bulgaria,2021-04-30,Moderna,108865
Bulgaria,2021-04-30,Oxford/AstraZeneca,263756
Bulgaria,2021-04-30,Pfizer/BioNTech,452036
Bulgaria,2021-05-07,Johnson&Johnson,0
Bulgaria,2021-05-07,Moderna,122688
Bulgaria,2021-05-07,Oxford/AstraZeneca,300451
Bulgaria,2021-05-07,Pfizer/BioNTech,514960
Bulgaria,2021-05-14,Johnson&Johnson,398
Bulgaria,2021-05-14,Moderna,145571
Bulgaria,2021-05-14,Oxford/AstraZeneca,364379
Bulgaria,2021-05-14,Pfizer/BioNTech,606439
Bulgaria,2021-05-21,Johnson&Johnson,2629
Bulgaria,2021-05-21,Moderna,165767
Bulgaria,2021-05-21,Oxford/AstraZeneca,401422
Bulgaria,2021-05-21,Pfizer/BioNTech,690983
Bulgaria,2021-05-28,Johnson&Johnson,6276
Bulgaria,2021-05-28,Moderna,181502
Bulgaria,2021-05-28,Oxford/AstraZeneca,411232
Bulgaria,2021-05-28,Pfizer/BioNTech,754371
Bulgaria,2021-06-04,Johnson&Johnson,11142
Bulgaria,2021-06-04,Moderna,190457
Bulgaria,2021-06-04,Oxford/AstraZeneca,435357
Bulgaria,2021-06-04,Pfizer/BioNTech,827459
Bulgaria,2021-06-11,Johnson&Johnson,17987
Bulgaria,2021-06-11,Moderna,202784
Bulgaria,2021-06-11,Oxford/AstraZeneca,457900
Bulgaria,2021-06-11,Pfizer/BioNTech,898271
Bulgaria,2021-06-18,Johnson&Johnson,25928
Bulgaria,2021-06-18,Moderna,216421
Bulgaria,2021-06-18,Oxford/AstraZeneca,467870
Bulgaria,2021-06-18,Pfizer/BioNTech,949706
Bulgaria,2021-06-25,Johnson&Johnson,33099
Bulgaria,2021-06-25,Moderna,225728
Bulgaria,2021-06-25,Oxford/AstraZeneca,470990
Bulgaria,2021-06-25,Pfizer/BioNTech,997114
Bulgaria,2021-07-02,Johnson&Johnson,39994
Bulgaria,2021-07-02,Moderna,234047
Bulgaria,2021-07-02,Oxford/AstraZeneca,472860
Bulgaria,2021-07-02,Pfizer/BioNTech,1042927
Bulgaria,2021-07-09,Johnson&Johnson,48424
Bulgaria,2021-07-09,Moderna,241862
Bulgaria,2021-07-09,Oxford/AstraZeneca,474021
Bulgaria,2021-07-09,Pfizer/BioNTech,1086383
Bulgaria,2021-07-16,Johnson&Johnson,58430
Bulgaria,2021-07-16,Moderna,247955
Bulgaria,2021-07-16,Oxford/AstraZeneca,474812
Bulgaria,2021-07-16,Pfizer/BioNTech,1127926
Bulgaria,2021-07-23,Johnson&Johnson,68108
Bulgaria,2021-07-23,Moderna,252761
Bulgaria,2021-07-23,Oxford/AstraZeneca,475720
Bulgaria,2021-07-23,Pfizer/BioNTech,1167720
Bulgaria,2021-07-30,Johnson&Johnson,78440
Bulgaria,2021-07-30,Moderna,258066
Bulgaria,2021-07-30,Oxford/AstraZeneca,476371
Bulgaria,2021-07-30,Pfizer/BioNTech,1212406
Bulgaria,2021-08-06,Johnson&Johnson,89960
Bulgaria,2021-08-06,Moderna,263844
Bulgaria,2021-08-06,Oxford/AstraZeneca,476700
Bulgaria,2021-08-06,Pfizer/BioNTech,1256750
Bulgaria,2021-08-13,Johnson&Johnson,102550
Bulgaria,2021-08-13,Moderna,269269
Bulgaria,2021-08-13,Oxford/AstraZeneca,477025
Bulgaria,2021-08-13,Pfizer/BioNTech,1298259
Bulgaria,2021-08-20,Johnson&Johnson,116845
Bulgaria,2021-08-20,Moderna,274596
Bulgaria,2021-08-20,Oxford/AstraZeneca,477363
Bulgaria,2021-08-20,Pfizer/BioNTech,1341032
Bulgaria,2021-08-27,Johnson&Johnson,133004
Bulgaria,2021-08-27,Moderna,280188
Bulgaria,2021-08-27,Oxford/AstraZeneca,477659
Bulgaria,2021-08-27,Pfizer/BioNTech,1387124
Bulgaria,2021-09-03,Johnson&Johnson,149767
Bulgaria,2021-09-03,Moderna,285738
Bulgaria,2021-09-03,Oxford/AstraZeneca,477825
Bulgaria,2021-09-03,Pfizer/BioNTech,1428817
Bulgaria,2021-09-10,Johnson&Johnson,162888
Bulgaria,2021-09-10,Moderna,290164
Bulgaria,2021-09-10,Oxford/AstraZeneca,477891
Bulgaria,2021-09-10,Pfizer/BioNTech,1463273
Bulgaria,2021-09-17,Johnson&Johnson,175977
Bulgaria,2021-09-17,Moderna,294725
Bulgaria,2021-09-17,Oxford/AstraZeneca,478020
Bulgaria,2021-09-17,Pfizer/BioNTech,1499714
Bulgaria,2021-09-24,Johnson&Johnson,185864
Bulgaria,2021-09-24,Moderna,298370
Bulgaria,2021-09-24,Oxford/AstraZeneca,478112
Bulgaria,2021-09-24,Pfizer/BioNTech,1529744
Bulgaria,2021-10-01,Johnson&Johnson,195779
Bulgaria,2021-10-01,Moderna,302017
Bulgaria,2021-10-01,Oxford/AstraZeneca,478260
Bulgaria,2021-10-01,Pfizer/BioNTech,1556626
Bulgaria,2021-10-08,Johnson&Johnson,203802
Bulgaria,2021-10-08,Moderna,304864
Bulgaria,2021-10-08,Oxford/AstraZeneca,478299
Bulgaria,2021-10-08,Pfizer/BioNTech,1583273
Bulgaria,2021-10-15,Johnson&Johnson,213919
Bulgaria,2021-10-15,Moderna,308052
Bulgaria,2021-10-15,Oxford/AstraZeneca,478334
Bulgaria,2021-10-15,Pfizer/BioNTech,1608862
Bulgaria,2021-10-22,Johnson&Johnson,255344
Bulgaria,2021-10-22,Moderna,314462
Bulgaria,2021-10-22,Oxford/AstraZeneca,478387
Bulgaria,2021-10-22,Pfizer/BioNTech,1659437
Bulgaria,2021-10-29,Johnson&Johnson,312725
Bulgaria,2021-10-29,Moderna,323462
Bulgaria,2021-10-29,Oxford/AstraZeneca,478451
Bulgaria,2021-10-29,Pfizer/BioNTech,1723130
Bulgaria,2021-11-05,Johnson&Johnson,353200
Bulgaria,2021-11-05,Moderna,331756
Bulgaria,2021-11-05,Oxford/AstraZeneca,478451
Bulgaria,2021-11-05,Pfizer/BioNTech,1778060
Bulgaria,2021-11-12,Johnson&Johnson,371959
Bulgaria,2021-11-12,Moderna,331756
Bulgaria,2021-11-12,Oxford/AstraZeneca,478451
Bulgaria,2021-11-12,Pfizer/BioNTech,1778060
Chile,2020-12-24,Pfizer/BioNTech,420
Chile,2020-12-25,Pfizer/BioNTech,5202
Chile,2020-12-26,Pfizer/BioNTech,8345
Chile,2020-12-27,Pfizer/BioNTech,8656
Chile,2020-12-28,Pfizer/BioNTech,8656
Chile,2020-12-29,Pfizer/BioNTech,8656
Chile,2020-12-30,Pfizer/BioNTech,8656
Chile,2020-12-31,Pfizer/BioNTech,8656
Chile,2021-01-01,Pfizer/BioNTech,8656
Chile,2021-01-02,Pfizer/BioNTech,8656
Chile,2021-01-03,Pfizer/BioNTech,8656
Chile,2021-01-04,Pfizer/BioNTech,9061
Chile,2021-01-05,Pfizer/BioNTech,10504
Chile,2021-01-06,Pfizer/BioNTech,10709
Chile,2021-01-07,Pfizer/BioNTech,10709
Chile,2021-01-08,Pfizer/BioNTech,10710
Chile,2021-01-09,Pfizer/BioNTech,10710
Chile,2021-01-10,Pfizer/BioNTech,10711
Chile,2021-01-11,Pfizer/BioNTech,10711
Chile,2021-01-12,Pfizer/BioNTech,10711
Chile,2021-01-13,Pfizer/BioNTech,11744
Chile,2021-01-14,Pfizer/BioNTech,18661
Chile,2021-01-15,Pfizer/BioNTech,22092
Chile,2021-01-16,Pfizer/BioNTech,22182
